iter	Passed	Remaining
0	1	132
1	2	122
2	3	120
3	4	107
4	5	102
5	6	98
6	7	98
7	8	99
8	9	99
9	10	97
10	11	94
11	12	93
12	13	90
13	14	88
14	15	88
15	16	86
16	17	86
17	18	84
18	19	82
19	20	81
20	21	80
21	22	79
22	23	77
23	24	77
24	25	75
25	26	74
26	27	73
27	28	72
28	28	70
29	30	70
30	31	69
31	32	68
32	33	67
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	46
53	53	45
54	54	44
55	54	43
56	55	42
57	56	41
58	57	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	80	20
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	93	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
