iter	Passed	Remaining
0	1	1970
1	5	2551
2	6	2270
3	8	2082
4	9	1983
5	11	1918
6	13	1858
7	14	1826
8	16	1784
9	17	1779
10	20	1829
11	21	1804
12	23	1778
13	24	1758
14	26	1744
15	28	1730
16	29	1712
17	31	1695
18	32	1699
19	35	1725
20	36	1713
21	38	1706
22	40	1708
23	41	1706
24	43	1705
25	45	1692
26	46	1676
27	49	1704
28	50	1691
29	51	1678
30	53	1665
31	54	1655
32	56	1644
33	57	1631
34	58	1619
35	59	1606
36	61	1594
37	64	1622
38	65	1613
39	66	1603
40	68	1593
41	69	1591
42	71	1587
43	72	1578
44	73	1569
45	75	1561
46	76	1552
47	79	1570
48	80	1562
49	81	1555
50	83	1548
51	84	1540
52	85	1532
53	86	1524
54	88	1517
55	89	1510
56	90	1502
57	93	1515
58	94	1510
59	96	1508
60	97	1505
61	99	1499
62	100	1493
63	101	1487
64	102	1480
65	104	1474
66	105	1467
67	106	1465
68	109	1473
69	110	1469
70	111	1464
71	113	1459
72	114	1454
73	115	1448
74	116	1442
75	118	1437
76	119	1431
77	120	1426
78	124	1446
79	125	1441
80	126	1437
81	128	1433
82	128	1422
83	130	1417
84	131	1413
85	132	1409
86	133	1405
87	135	1400
88	137	1402
89	139	1411
90	141	1409
91	142	1408
92	144	1406
93	145	1404
94	148	1413
95	149	1410
96	152	1421
97	156	1437
98	157	1437
99	159	1436
100	161	1436
101	163	1441
102	165	1439
103	168	1452
104	170	1453
105	172	1451
106	173	1449
107	175	1449
108	176	1445
109	178	1442
110	179	1440
111	181	1439
112	184	1444
113	185	1440
114	186	1437
115	188	1434
116	189	1428
117	190	1425
118	192	1421
119	193	1418
120	194	1416
121	196	1414
122	198	1414
123	199	1411
124	201	1408
125	202	1404
126	203	1399
127	204	1396
128	206	1392
129	207	1388
130	208	1385
131	210	1381
132	212	1387
133	214	1384
134	215	1380
135	216	1377
136	218	1374
137	219	1370
138	220	1367
139	222	1364
140	223	1362
